num_posts,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,NegativeEmotion,CoreHostility,We,They,length,count_repeated,kind,ptile
10,82.49797,10.0,0.591715976331361,0.0,1.183431952662722,2.9585798816568047,0.0,0.591715976331361,61.5,169,before,3
7,86.612374,14.285714285714285,0.312256049960968,0.078064012490242,4.059328649492584,4.449648711943794,0.312256049960968,0.39032006245121,214.0,1281,before,2
1,38.709700000000005,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,120.0,22,before,1
6,42.183378,0.0,1.4150943396226416,0.0,0.0,2.358490566037736,0.0,1.8867924528301887,103.0,212,before,2
1,87.90881,100.0,16.666666666666664,0.0,33.33333333333333,66.66666666666666,0.0,0.0,48.0,6,before,1
1,11.892557,0.0,1.0204081632653061,0.0,0.0,0.0,0.5102040816326531,0.0,1018.0,196,before,1
1,23.828879999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7,before,1
4,10.33092,0.0,2.3255813953488373,0.0,2.3255813953488373,2.3255813953488373,2.3255813953488373,2.3255813953488373,44.0,43,before,2
1,35.690847,0.0,0.6535947712418301,0.6535947712418301,3.2679738562091507,5.88235294117647,0.0,1.3071895424836601,803.0,153,before,1
2,6.9775015,0.0,8.333333333333332,8.333333333333332,0.0,8.333333333333332,0.0,0.0,30.0,12,before,2
1,3.199201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5,before,1
1,60.71921999999999,0.0,0.20876826722338201,0.31315240083507306,1.6701461377870561,2.1920668058455117,1.2526096033402923,0.7306889352818371,6676.0,958,before,1
6,28.660214,0.0,0.0,0.0,2.4390243902439024,2.4390243902439024,0.0,0.0,18.5,41,before,2
10,67.42255,0.0,1.3100436681222707,0.21834061135371177,3.2751091703056767,3.711790393013101,0.8733624454148471,1.0917030567685588,82.5,458,before,3
1,2.730721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,18,before,1
2,88.678163,50.0,0.0,0.0,14.814814814814813,14.814814814814813,0.0,0.0,74.0,27,before,2
3,29.866546,0.0,0.7398273736128237,0.0,1.6029593094944512,1.1097410604192355,0.2466091245376079,1.3563501849568433,1870.0,811,before,2
3,3.4634877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,47,before,2
3,27.109724,0.0,7.317073170731707,0.0,0.0,0.0,0.0,0.0,99.0,41,before,2
5,82.14078,20.0,1.4285714285714286,0.0,3.571428571428571,6.428571428571428,1.4285714285714286,0.0,95.0,140,before,2
1,8.608468,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,48.0,13,before,1
2,30.201814,0.0,2.0,0.0,0.0,2.0,0.0,0.0,157.5,50,before,2
1,6.585717000000001,0.0,5.263157894736842,0.0,5.263157894736842,5.263157894736842,0.0,0.0,107.0,19,before,1
1,3.8422413000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,26,before,1
6,40.65869,0.0,2.4427480916030535,0.0,0.9160305343511451,0.7633587786259541,0.9160305343511451,0.9160305343511451,263.5,655,before,2
