venue,date_post,id,author,length,first,idpauthor,intervention_flag,date_idx
/r/The_Donald,2020-04-01,17435,3654,144.15497562374534,129,4.771483305966065,1,35
/r/The_Donald,2020-04-02,19318,3727,144.73335749042343,137,5.183257311510598,1,36
/r/The_Donald,2020-04-03,19635,3742,148.8150751209575,148,5.247194013896312,1,37
/r/The_Donald,2020-04-04,17161,3347,149.76644717673796,118,5.127278159545862,1,38
/r/The_Donald,2020-04-05,16278,3354,148.29684236392677,107,4.853309481216458,1,39
/r/The_Donald,2020-04-06,18222,3586,133.4960487323016,93,5.081427774679309,1,40
/r/The_Donald,2020-04-07,18523,3659,135.9826701938131,112,5.0623121071330965,1,41
/r/The_Donald,2020-04-08,20009,4117,139.48378229796592,152,4.860092300218605,1,42
/r/The_Donald,2020-04-09,19813,3785,136.40650078231465,115,5.2346103038309115,1,43
/r/The_Donald,2020-04-10,19136,3625,134.70296822742475,94,5.278896551724138,1,44
/r/The_Donald,2020-04-11,17119,3482,142.31041532799813,115,4.916427340608846,1,45
/r/The_Donald,2020-04-12,16715,3425,146.46868082560573,100,4.8802919708029195,1,46
/r/The_Donald,2020-04-13,18484,3817,141.27775373295825,128,4.842546502488865,1,47
/r/The_Donald,2020-04-14,17620,3767,135.9772417707151,102,4.677462171489249,1,48
/r/The_Donald,2020-04-15,18862,3885,127.62734598663981,121,4.855083655083655,1,49
/r/The_Donald,2020-04-16,19590,3879,138.26932108218477,133,5.050270688321732,1,50
/r/The_Donald,2020-04-17,18358,3705,136.8243817409304,123,4.954925775978408,1,51
/r/The_Donald,2020-04-18,16350,3453,137.35113149847095,131,4.73501303214596,1,52
/r/The_Donald,2020-04-19,15338,3280,145.19878732559656,102,4.6762195121951216,1,53
/r/The_Donald,2020-04-20,17582,3652,145.15527243772038,86,4.814348302300109,1,54
/r/The_Donald,2020-04-21,19755,3919,129.69055935206276,123,5.040826741515692,1,55
/r/The_Donald,2020-04-22,20831,3994,141.65071287984253,139,5.21557336004006,1,56
/r/The_Donald,2020-04-23,19355,3652,149.85295789201757,107,5.299835706462212,1,57
/r/The_Donald,2020-04-24,18403,3613,138.92762049665816,115,5.093551065596457,1,58
/r/The_Donald,2020-04-25,14688,3043,149.281045751634,110,4.826815642458101,1,59
/r/The_Donald,2020-04-26,16365,3141,142.0768102658112,81,5.210124164278892,1,60
/r/The_Donald,2020-04-27,16661,3289,152.990276694076,86,5.065673456977805,1,61
/r/The_Donald,2020-04-28,17924,3518,143.4987725954028,102,5.094940306992609,1,62
/r/The_Donald,2020-04-29,18160,3602,145.31200440528633,111,5.04164353137146,1,63
/r/The_Donald,2020-04-30,20004,3713,147.84473105378925,106,5.387557231349313,1,64
/r/The_Donald,2020-05-01,18186,3663,134.19723963488397,105,4.964782964782965,1,65
/r/The_Donald,2020-05-02,15721,3311,137.06761656383182,76,4.748112352763515,1,66
/r/The_Donald,2020-05-03,15581,3242,142.6273666645273,83,4.805983960518199,1,67
/r/The_Donald,2020-05-04,17111,3549,138.82023259891298,82,4.821358129050437,1,68
/r/The_Donald,2020-05-05,17103,3593,141.47862948020816,80,4.760089062065127,1,69
/r/The_Donald,2020-05-06,17292,3607,126.50358547305112,62,4.794011644025506,1,70
/r/The_Donald,2020-05-07,18280,3717,132.4906455142232,74,4.917944578961528,1,71
/r/The_Donald,2020-05-08,18247,3647,130.98838165177838,90,5.00329037565122,1,72
/r/The_Donald,2020-05-09,14953,3168,139.01631779576005,69,4.720012626262626,1,73
/r/The_Donald,2020-05-10,14794,3185,133.50561038258755,98,4.644897959183673,1,74
/r/The_Donald,2020-05-11,17800,3651,130.3014606741573,115,4.875376609148178,1,75
/r/The_Donald,2020-05-12,19719,3818,137.1141538617577,84,5.164745940282871,1,76
/r/The_Donald,2020-05-13,20618,4050,134.22009894267146,103,5.090864197530864,1,77
/r/The_Donald,2020-05-14,20587,4071,136.1297420702385,106,5.056988454925079,1,78
/r/The_Donald,2020-05-15,19806,3973,126.35464000807836,104,4.985149760885981,1,79
/r/The_Donald,2020-05-16,16164,3510,131.3061123484286,81,4.605128205128205,1,80
/r/The_Donald,2020-05-17,15690,3466,130.09451880178457,79,4.526832083092902,1,81
/r/The_Donald,2020-05-18,18542,3805,135.92244633804336,79,4.873061760840999,1,82
/r/The_Donald,2020-05-19,20237,3870,129.699461382616,68,5.229198966408268,1,83
/r/The_Donald,2020-05-20,19029,3846,126.50980083031163,104,4.9477379095163805,1,84
/r/The_Donald,2020-05-21,19388,3796,136.84129358366,67,5.107481559536354,1,85
/r/The_Donald,2020-05-22,19820,3906,129.67921291624623,94,5.074244751664106,1,86
/r/The_Donald,2020-05-23,16998,3310,122.32468525708907,71,5.135347432024169,1,87
/r/The_Donald,2020-05-24,14896,3280,133.80350429645543,74,4.541463414634146,1,88
/r/The_Donald,2020-05-25,14533,3235,146.47794674189774,67,4.492426584234931,1,89
/r/The_Donald,2020-05-26,16077,3364,144.65142750513155,59,4.779131985731272,1,90
/r/The_Donald,2020-05-27,18065,3720,132.1962358151121,86,4.856182795698925,1,91
/r/The_Donald,2020-05-28,21345,3948,138.5486530803467,93,5.406534954407295,1,92
/r/The_Donald,2020-05-29,26314,4774,135.10184692559093,183,5.511939673229996,1,93
/r/The_Donald,2020-05-30,26029,4180,125.62968227745975,124,6.227033492822967,1,94
/r/The_Donald,2020-05-31,28784,4443,125.45483602001111,167,6.478505514292145,1,95
/r/The_Donald,2020-06-01,33168,5053,129.77152677279307,180,6.56402137344152,1,96
/r/The_Donald,2020-06-02,36706,5543,132.61123522039995,233,6.6220458235612485,1,97
/r/The_Donald,2020-06-03,38148,5756,131.2909195763867,230,6.627519110493398,1,98
/r/The_Donald,2020-06-04,34802,5537,141.02287224872134,218,6.285353079284811,1,99
/r/The_Donald,2020-06-05,35037,5535,129.49904386791107,197,6.330081300813008,1,100
/r/The_Donald,2020-06-06,29704,5140,134.26208591435497,231,5.778988326848249,1,101
/r/The_Donald,2020-06-07,28488,5042,139.71847795563045,221,5.650138833796112,1,102
/r/The_Donald,2020-06-08,28988,5296,136.88529736442666,171,5.47356495468278,1,103
/r/The_Donald,2020-06-09,28220,5328,133.567434443657,141,5.296546546546547,1,104
/r/The_Donald,2020-06-10,31953,5502,131.96886051387975,147,5.80752453653217,1,105
/r/The_Donald,2020-06-11,30507,5405,135.25122103123874,166,5.644218316373728,1,106
/r/The_Donald,2020-06-12,29670,5302,141.02190765082574,142,5.596001508864579,1,107
/r/The_Donald,2020-06-13,24594,4520,132.36305602992599,112,5.441150442477876,1,108
/r/The_Donald,2020-06-14,24930,4634,141.33136782992378,108,5.379801467414761,1,109
/r/The_Donald,2020-06-15,25271,4828,146.65019191959163,117,5.234258492129246,1,110
/r/The_Donald,2020-06-16,29473,5126,146.51046720727444,99,5.749707374170893,1,111
/r/The_Donald,2020-06-17,29959,5288,144.12727394105278,103,5.665468986384266,1,112
/r/The_Donald,2020-06-18,31135,5409,137.89513409346395,135,5.756147162137179,1,113
/r/The_Donald,2020-06-19,30428,5353,135.19176416458524,130,5.684289183635345,1,114
/r/The_Donald,2020-06-20,25577,4871,129.3691988896274,113,5.250872510778074,1,115
/r/The_Donald,2020-06-21,27434,5521,136.11901290369613,572,4.969027350117733,1,116
/r/The_Donald,2020-06-22,28059,5381,146.02234577141024,194,5.214458279130273,1,117
/r/The_Donald,2020-06-23,31639,5705,131.88902936249565,177,5.545836985100789,1,118
gendercritical,2020-03-02,1540,553,285.89285714285717,70,2.7848101265822787,0,-119
gendercritical,2020-03-03,1409,543,315.33002129169626,62,2.5948434622467773,0,-118
gendercritical,2020-03-04,1307,481,312.017597551645,37,2.7172557172557172,0,-117
gendercritical,2020-03-05,1830,560,332.38907103825136,57,3.267857142857143,0,-116
gendercritical,2020-03-06,1606,518,340.247198007472,58,3.1003861003861,0,-115
gendercritical,2020-03-07,1052,452,324.6720532319392,59,2.327433628318584,0,-114
